Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
investments,-150000,-150000,PTG.AX
changeToLiabilities,-285187,1043232,PTG.AX
totalCashflowsFromInvestingActivities,-6824088,-11870705,PTG.AX
netBorrowings,-9313,-9313,PTG.AX
totalCashFromFinancingActivities,9817350,14182349,PTG.AX
changeToOperatingActivities,38526,430841,PTG.AX
issuanceOfStock,10600000,14340029,PTG.AX
netIncome,-1001353,-922994,PTG.AX
changeInCash,4107035,5939556,PTG.AX
effectOfExchangeRate,-22061,-8011,PTG.AX
totalCashFromOperatingActivities,1135834,3635923,PTG.AX
depreciation,902432,548381,PTG.AX
otherCashflowsFromInvestingActivities,-44549,-44549,PTG.AX
changeToAccountReceivables,-65949,146726,PTG.AX
otherCashflowsFromFinancingActivities,-773337,-157680,PTG.AX
changeToNetincome,514773,623554,PTG.AX
capitalExpenditures,-127790,-44940,PTG.AX
