Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
researchDevelopment,,,,APM.AX
effectOfAccountingCharges,,,,APM.AX
incomeBeforeTax,26037000,-8756000,-20193000,APM.AX
minorityInterest,,,-3849000.0,APM.AX
netIncome,-5757000,-24472000,-26391000,APM.AX
sellingGeneralAdministrative,237510000,80249000,60602000,APM.AX
grossProfit,932007000,237681000,153920000,APM.AX
ebit,343452000,59384000,29966000,APM.AX
operatingIncome,343452000,59384000,29966000,APM.AX
otherOperatingExpenses,41505000,19613000,11952000,APM.AX
interestExpense,-394830000,-59131000,-50766000,APM.AX
extraordinaryItems,,,,APM.AX
nonRecurring,,,,APM.AX
otherItems,,,,APM.AX
incomeTaxExpense,31794000,15487000,6100000,APM.AX
totalRevenue,2997339000,797332000,535658000,APM.AX
totalOperatingExpenses,2653887000,737948000,505692000,APM.AX
costOfRevenue,2065332000,559651000,381738000,APM.AX
totalOtherIncomeExpenseNet,-317415000,-68140000,-50159000,APM.AX
discontinuedOperations,,,,APM.AX
netIncomeFromContinuingOps,-5757000,-24243000,-26293000,APM.AX
netIncomeApplicableToCommonShares,-5757000,-24472000,-26391000,APM.AX
