Breakdown,2021-06-30 00:00:00,ticker
researchDevelopment,,PBL.AX
effectOfAccountingCharges,,PBL.AX
incomeBeforeTax,-252212,PBL.AX
minorityInterest,,PBL.AX
netIncome,-252212,PBL.AX
sellingGeneralAdministrative,222477,PBL.AX
grossProfit,0,PBL.AX
ebit,-222477,PBL.AX
operatingIncome,-222477,PBL.AX
otherOperatingExpenses,,PBL.AX
interestExpense,,PBL.AX
extraordinaryItems,,PBL.AX
nonRecurring,,PBL.AX
otherItems,,PBL.AX
incomeTaxExpense,0,PBL.AX
totalRevenue,0,PBL.AX
totalOperatingExpenses,222477,PBL.AX
costOfRevenue,0,PBL.AX
totalOtherIncomeExpenseNet,-29735,PBL.AX
discontinuedOperations,,PBL.AX
netIncomeFromContinuingOps,-252212,PBL.AX
netIncomeApplicableToCommonShares,-252212,PBL.AX
