Breakdown,2020-12-31 00:00:00,ticker
investments,-349000,GFN.AX
changeToLiabilities,-5343000,GFN.AX
totalCashflowsFromInvestingActivities,542000,GFN.AX
netBorrowings,3687000,GFN.AX
totalCashFromFinancingActivities,3052000,GFN.AX
changeToOperatingActivities,896000,GFN.AX
netIncome,-20893000,GFN.AX
changeInCash,975000,GFN.AX
effectOfExchangeRate,-1091000,GFN.AX
totalCashFromOperatingActivities,-1528000,GFN.AX
depreciation,1559000,GFN.AX
changeToAccountReceivables,-314000,GFN.AX
otherCashflowsFromFinancingActivities,-635000,GFN.AX
changeToNetincome,22567000,GFN.AX
capitalExpenditures,-91000,GFN.AX
