Breakdown,2020-12-31 00:00:00,ticker
researchDevelopment,5687000,GFN.AX
effectOfAccountingCharges,,GFN.AX
incomeBeforeTax,-20327000,GFN.AX
minorityInterest,3434000,GFN.AX
netIncome,-20893000,GFN.AX
sellingGeneralAdministrative,16108000,GFN.AX
grossProfit,13351000,GFN.AX
ebit,-9931000,GFN.AX
operatingIncome,-9931000,GFN.AX
otherOperatingExpenses,,GFN.AX
interestExpense,-2022000,GFN.AX
extraordinaryItems,,GFN.AX
nonRecurring,,GFN.AX
otherItems,,GFN.AX
incomeTaxExpense,128000,GFN.AX
totalRevenue,16421000,GFN.AX
totalOperatingExpenses,26352000,GFN.AX
costOfRevenue,3070000,GFN.AX
totalOtherIncomeExpenseNet,-10396000,GFN.AX
discontinuedOperations,,GFN.AX
netIncomeFromContinuingOps,-20455000,GFN.AX
netIncomeApplicableToCommonShares,-20893000,GFN.AX
