Breakdown,2021-06-30 00:00:00,ticker
capitalSurplus,5909246,PFE.AX
totalLiab,1419489,PFE.AX
totalStockholderEquity,6286828,PFE.AX
otherCurrentLiab,16454,PFE.AX
totalAssets,7706317,PFE.AX
commonStock,657381,PFE.AX
otherCurrentAssets,5808000,PFE.AX
retainedEarnings,-666644,PFE.AX
treasuryStock,386845,PFE.AX
otherAssets,150000,PFE.AX
cash,1653637,PFE.AX
totalCurrentLiabilities,1419489,PFE.AX
otherStockholderEquity,386845,PFE.AX
propertyPlantEquipment,1275,PFE.AX
totalCurrentAssets,7555042,PFE.AX
netTangibleAssets,6286828,PFE.AX
netReceivables,93405,PFE.AX
accountsPayable,463959,PFE.AX
