Breakdown,2021-06-30 00:00:00,ticker
researchDevelopment,,PFE.AX
effectOfAccountingCharges,,PFE.AX
incomeBeforeTax,-1333288,PFE.AX
minorityInterest,,PFE.AX
netIncome,-1333288,PFE.AX
sellingGeneralAdministrative,434392,PFE.AX
grossProfit,10,PFE.AX
ebit,-1294932,PFE.AX
operatingIncome,-1294932,PFE.AX
otherOperatingExpenses,86860,PFE.AX
interestExpense,,PFE.AX
extraordinaryItems,,PFE.AX
nonRecurring,,PFE.AX
otherItems,,PFE.AX
incomeTaxExpense,0,PFE.AX
totalRevenue,10,PFE.AX
totalOperatingExpenses,1294942,PFE.AX
costOfRevenue,0,PFE.AX
totalOtherIncomeExpenseNet,-38356,PFE.AX
discontinuedOperations,,PFE.AX
netIncomeFromContinuingOps,-1333288,PFE.AX
netIncomeApplicableToCommonShares,-1333288,PFE.AX
