Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
changeToLiabilities,169792,2580,NSM.AX
totalCashflowsFromInvestingActivities,-4957372,-4957372,NSM.AX
netBorrowings,-3000,2571,NSM.AX
totalCashFromFinancingActivities,17766613,2580,NSM.AX
changeToOperatingActivities,25945,25945,NSM.AX
issuanceOfStock,20000000,9,NSM.AX
netIncome,-2088746,-556,NSM.AX
changeInCash,11775983,2024,NSM.AX
totalCashFromOperatingActivities,-1033258,-556,NSM.AX
depreciation,48932,48932,NSM.AX
otherCashflowsFromInvestingActivities,-60000,-60000,NSM.AX
changeToAccountReceivables,-237989,-237989,NSM.AX
otherCashflowsFromFinancingActivities,-2230387,-2230387,NSM.AX
changeToNetincome,1048808,-2580,NSM.AX
capitalExpenditures,-4897372,-4897372,NSM.AX
