Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
researchDevelopment,,,,NIM.AX
effectOfAccountingCharges,,,,NIM.AX
incomeBeforeTax,-677971,-170210,-134906,NIM.AX
minorityInterest,,,,NIM.AX
netIncome,-677971,-170210,-134906,NIM.AX
sellingGeneralAdministrative,761438,170210,134906,NIM.AX
grossProfit,0,0,0,NIM.AX
ebit,-677971,-170210,-134906,NIM.AX
operatingIncome,-677971,-170210,-134906,NIM.AX
otherOperatingExpenses,-90517,-90517,-90517,NIM.AX
interestExpense,,,,NIM.AX
extraordinaryItems,,,,NIM.AX
nonRecurring,,,,NIM.AX
otherItems,,,,NIM.AX
incomeTaxExpense,0,0,0,NIM.AX
totalRevenue,0,0,0,NIM.AX
totalOperatingExpenses,677971,170210,134906,NIM.AX
costOfRevenue,0,0,0,NIM.AX
totalOtherIncomeExpenseNet,0,0,0,NIM.AX
discontinuedOperations,,,,NIM.AX
netIncomeFromContinuingOps,-677971,-170210,-134906,NIM.AX
netIncomeApplicableToCommonShares,-677971,-170210,-134906,NIM.AX
