Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,ticker
changeToLiabilities,3320000,1605000,2152000,OXT.AX
totalCashflowsFromInvestingActivities,-1411000,-2660000,-1500000,OXT.AX
netBorrowings,-407000,-318000,-161000,OXT.AX
totalCashFromFinancingActivities,5049000,3803000,3112000,OXT.AX
changeToOperatingActivities,5000,14000,-29000,OXT.AX
issuanceOfStock,5456000,4121000,3273000,OXT.AX
netIncome,-6090000,-4651000,-3549000,OXT.AX
changeInCash,253000,-326000,-680000,OXT.AX
effectOfExchangeRate,-10000,-87000,-27000,OXT.AX
totalCashFromOperatingActivities,-3375000,-1382000,-2265000,OXT.AX
depreciation,911000,798000,480000,OXT.AX
changeToInventory,-458000,264000,-1065000,OXT.AX
changeToAccountReceivables,-1748000,53000,-252000,OXT.AX
changeToNetincome,-35000,-489000,-622000,OXT.AX
capitalExpenditures,-442000,-1515000,-725000,OXT.AX
