Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,ticker
researchDevelopment,,,,A1G.AX
effectOfAccountingCharges,,,,A1G.AX
incomeBeforeTax,-715139,-983494,-1492991,A1G.AX
minorityInterest,,,,A1G.AX
netIncome,-715139,-983494,-1492991,A1G.AX
sellingGeneralAdministrative,563569,742095,310040,A1G.AX
grossProfit,0,0,-248085,A1G.AX
ebit,-760313,-960843,-1411998,A1G.AX
operatingIncome,-760313,-960843,-1411998,A1G.AX
otherOperatingExpenses,129602,118233,22220,A1G.AX
interestExpense,,,,A1G.AX
extraordinaryItems,,,,A1G.AX
nonRecurring,,,,A1G.AX
otherItems,,,,A1G.AX
incomeTaxExpense,0,0,0,A1G.AX
totalRevenue,0,0,0,A1G.AX
totalOperatingExpenses,760313,960843,1411998,A1G.AX
costOfRevenue,0,0,248085,A1G.AX
totalOtherIncomeExpenseNet,45174,-22651,-80992,A1G.AX
discontinuedOperations,,,,A1G.AX
netIncomeFromContinuingOps,-715139,-983494,-1492991,A1G.AX
netIncomeApplicableToCommonShares,-715139,-983494,-1492991,A1G.AX
