Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
researchDevelopment,,,,GL1.AX
effectOfAccountingCharges,,,,GL1.AX
incomeBeforeTax,-1224978,-6683,-8416,GL1.AX
minorityInterest,,,,GL1.AX
netIncome,-1224978,-6683,-8416,GL1.AX
sellingGeneralAdministrative,397892,9942,15501,GL1.AX
grossProfit,0,0,0,GL1.AX
ebit,-1225355,-16402,-15501,GL1.AX
operatingIncome,-1225355,-16402,-15501,GL1.AX
otherOperatingExpenses,292484,6460,6460,GL1.AX
interestExpense,,,,GL1.AX
extraordinaryItems,,,,GL1.AX
nonRecurring,,,,GL1.AX
otherItems,,,,GL1.AX
incomeTaxExpense,0,0,0,GL1.AX
totalRevenue,0,0,0,GL1.AX
totalOperatingExpenses,1225355,16402,15501,GL1.AX
costOfRevenue,0,0,0,GL1.AX
totalOtherIncomeExpenseNet,377,9719,7085,GL1.AX
discontinuedOperations,,,,GL1.AX
netIncomeFromContinuingOps,-1224978,-6683,-8416,GL1.AX
netIncomeApplicableToCommonShares,-1224978,-6683,-8416,GL1.AX
