Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
researchDevelopment,,,,JDO.AX
effectOfAccountingCharges,,,,JDO.AX
incomeBeforeTax,-4306000,-50844000,-27966000,JDO.AX
minorityInterest,,,,JDO.AX
netIncome,28808000,-50844000,-27966000,JDO.AX
sellingGeneralAdministrative,60214000,53015000,26336000,JDO.AX
grossProfit,79813000,4646000,-560000,JDO.AX
ebit,0,0,0,JDO.AX
operatingIncome,-4306000,-50844000,-27966000,JDO.AX
otherOperatingExpenses,23905000,2475000,1070000,JDO.AX
interestExpense,,,,JDO.AX
extraordinaryItems,,,,JDO.AX
nonRecurring,,,,JDO.AX
otherItems,,,,JDO.AX
incomeTaxExpense,-33114000,0,0,JDO.AX
totalRevenue,79813000,4646000,-560000,JDO.AX
totalOperatingExpenses,84119000,55490000,27406000,JDO.AX
costOfRevenue,0,0,0,JDO.AX
totalOtherIncomeExpenseNet,0,0,0,JDO.AX
discontinuedOperations,,,,JDO.AX
netIncomeFromContinuingOps,28808000,-50844000,-27966000,JDO.AX
netIncomeApplicableToCommonShares,28808000,-50844000,-27966000,JDO.AX
