,0,1,ticker
0,Market Cap (intraday),21.46M,PCL.AX
1,Enterprise Value,21.54M,PCL.AX
2,Trailing P/E,,PCL.AX
3,Forward P/E,,PCL.AX
4,PEG Ratio (5 yr expected),,PCL.AX
5,Price/Sales (ttm),,PCL.AX
6,Price/Book (mrq),8.01,PCL.AX
7,Enterprise Value/Revenue,3.79k,PCL.AX
8,Enterprise Value/EBITDA,-28.91,PCL.AX
