Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
totalLiab,347254.0,12302.0,92E.AX
totalStockholderEquity,8045748.0,-11246.0,92E.AX
otherCurrentLiab,6886.0,,92E.AX
totalAssets,8393002.0,1056.0,92E.AX
commonStock,9559194.0,1.0,92E.AX
retainedEarnings,-2712440.0,-11247.0,92E.AX
otherLiab,11672.0,,92E.AX
treasuryStock,1198994.0,,92E.AX
cash,5816047.0,1.0,92E.AX
totalCurrentLiabilities,335582.0,12302.0,92E.AX
otherStockholderEquity,1198994.0,,92E.AX
propertyPlantEquipment,2412275.0,,92E.AX
totalCurrentAssets,5980727.0,1056.0,92E.AX
netTangibleAssets,8045748.0,-11246.0,92E.AX
netReceivables,164680.0,1055.0,92E.AX
accountsPayable,132130.0,11602.0,92E.AX
