Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
changeToLiabilities,266170,36906,92E.AX
totalCashflowsFromInvestingActivities,-233309,-233309,92E.AX
netBorrowings,-25248,-25248,92E.AX
totalCashFromFinancingActivities,7342945,3,92E.AX
changeToOperatingActivities,30165,30165,92E.AX
issuanceOfStock,7877985,3,92E.AX
netIncome,-2701193,-33741,92E.AX
changeInCash,5816046,3,92E.AX
effectOfExchangeRate,-32403,-32403,92E.AX
totalCashFromOperatingActivities,-1261187,-1261187,92E.AX
depreciation,26814,26814,92E.AX
changeToAccountReceivables,-117040,-3165,92E.AX
otherCashflowsFromFinancingActivities,-509792,-509792,92E.AX
changeToNetincome,1233897,1233897,92E.AX
capitalExpenditures,-235121,-235121,92E.AX
