,0,1,ticker
0,Market Cap (intraday),40.12M,92E.AX
1,Enterprise Value,34.35M,92E.AX
2,Trailing P/E,,92E.AX
3,Forward P/E,,92E.AX
4,PEG Ratio (5 yr expected),,92E.AX
5,Price/Sales (ttm),,92E.AX
6,Price/Book (mrq),4.99,92E.AX
7,Enterprise Value/Revenue,,92E.AX
8,Enterprise Value/EBITDA,-12.85,92E.AX
