Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
researchDevelopment,58193,58193,92E.AX
effectOfAccountingCharges,,,92E.AX
incomeBeforeTax,-2701193,-33741,92E.AX
minorityInterest,,,92E.AX
netIncome,-2701193,-33741,92E.AX
sellingGeneralAdministrative,555675,33741,92E.AX
grossProfit,0,0,92E.AX
ebit,-2520983,-33741,92E.AX
operatingIncome,-2520983,-33741,92E.AX
otherOperatingExpenses,,,92E.AX
interestExpense,-1766,-1766,92E.AX
extraordinaryItems,,,92E.AX
nonRecurring,,,92E.AX
otherItems,,,92E.AX
incomeTaxExpense,0,0,92E.AX
totalRevenue,0,0,92E.AX
totalOperatingExpenses,2520983,33741,92E.AX
costOfRevenue,0,0,92E.AX
totalOtherIncomeExpenseNet,-180210,0,92E.AX
discontinuedOperations,,,92E.AX
netIncomeFromContinuingOps,-2701193,-33741,92E.AX
netIncomeApplicableToCommonShares,-2701193,-33741,92E.AX
