Breakdown,2021-06-30 00:00:00,ticker
researchDevelopment,,PGD.AX
effectOfAccountingCharges,,PGD.AX
incomeBeforeTax,-1623240,PGD.AX
minorityInterest,,PGD.AX
netIncome,-1623240,PGD.AX
sellingGeneralAdministrative,446819,PGD.AX
grossProfit,0,PGD.AX
ebit,-1632948,PGD.AX
operatingIncome,-1632948,PGD.AX
otherOperatingExpenses,,PGD.AX
interestExpense,,PGD.AX
extraordinaryItems,,PGD.AX
nonRecurring,,PGD.AX
otherItems,,PGD.AX
incomeTaxExpense,0,PGD.AX
totalRevenue,0,PGD.AX
totalOperatingExpenses,1632948,PGD.AX
costOfRevenue,0,PGD.AX
totalOtherIncomeExpenseNet,9708,PGD.AX
discontinuedOperations,,PGD.AX
netIncomeFromContinuingOps,-1623240,PGD.AX
netIncomeApplicableToCommonShares,-1623240,PGD.AX
