Breakdown,2021-06-30 00:00:00,ticker
totalLiab,371840,PGD.AX
totalStockholderEquity,6471463,PGD.AX
totalAssets,6843303,PGD.AX
commonStock,7364175,PGD.AX
otherCurrentAssets,10890,PGD.AX
retainedEarnings,-1217430,PGD.AX
treasuryStock,324718,PGD.AX
cash,4826594,PGD.AX
totalCurrentLiabilities,371840,PGD.AX
otherStockholderEquity,324718,PGD.AX
propertyPlantEquipment,1925706,PGD.AX
totalCurrentAssets,4917597,PGD.AX
netTangibleAssets,6471463,PGD.AX
netReceivables,80113,PGD.AX
accountsPayable,342050,PGD.AX
