Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,ticker
researchDevelopment,,,,MM1.AX
effectOfAccountingCharges,,,,MM1.AX
incomeBeforeTax,671284,-1715217,-1233506,MM1.AX
minorityInterest,,,,MM1.AX
netIncome,671284,-1715217,-1233506,MM1.AX
sellingGeneralAdministrative,193333,244530,392553,MM1.AX
grossProfit,0,0,0,MM1.AX
ebit,-230449,-1713582,-1249222,MM1.AX
operatingIncome,-230449,-1713582,-1249222,MM1.AX
otherOperatingExpenses,-13596,44739,70003,MM1.AX
interestExpense,,,,MM1.AX
extraordinaryItems,,,,MM1.AX
nonRecurring,,,,MM1.AX
otherItems,,,,MM1.AX
incomeTaxExpense,0,0,0,MM1.AX
totalRevenue,0,0,0,MM1.AX
totalOperatingExpenses,230449,1713582,1249222,MM1.AX
costOfRevenue,0,0,0,MM1.AX
totalOtherIncomeExpenseNet,901733,-1635,15716,MM1.AX
discontinuedOperations,,,,MM1.AX
netIncomeFromContinuingOps,671284,-1715217,-1233506,MM1.AX
netIncomeApplicableToCommonShares,671284,-1715217,-1233506,MM1.AX
