Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
researchDevelopment,17073000,18871000,SDR.AX
effectOfAccountingCharges,,,SDR.AX
incomeBeforeTax,-121492000,-3874000,SDR.AX
minorityInterest,,,SDR.AX
netIncome,-121770000,-4899000,SDR.AX
sellingGeneralAdministrative,54160000,67433000,SDR.AX
grossProfit,74289000,83046000,SDR.AX
ebit,-19415000,-21377000,SDR.AX
operatingIncome,-19415000,-21377000,SDR.AX
otherOperatingExpenses,,,SDR.AX
interestExpense,-989000,-408000,SDR.AX
extraordinaryItems,,,SDR.AX
nonRecurring,,,SDR.AX
otherItems,,,SDR.AX
incomeTaxExpense,278000,1025000,SDR.AX
totalRevenue,100761000,112196000,SDR.AX
totalOperatingExpenses,120176000,133573000,SDR.AX
costOfRevenue,26472000,29150000,SDR.AX
totalOtherIncomeExpenseNet,-102077000,17503000,SDR.AX
discontinuedOperations,,,SDR.AX
netIncomeFromContinuingOps,-121770000,-4899000,SDR.AX
netIncomeApplicableToCommonShares,-121770000,-4899000,SDR.AX
