,0,1,ticker
0,Market Cap (intraday),32.99M,MGL.AX
1,Enterprise Value,43.23M,MGL.AX
2,Trailing P/E,71.67,MGL.AX
3,Forward P/E,,MGL.AX
4,PEG Ratio (5 yr expected),,MGL.AX
5,Price/Sales (ttm),0.35,MGL.AX
6,Price/Book (mrq),1.06,MGL.AX
7,Enterprise Value/Revenue,0.43,MGL.AX
8,Enterprise Value/EBITDA,16.23,MGL.AX
