Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
changeToLiabilities,402959,-2796,WSR.AX
totalCashflowsFromInvestingActivities,-1790641,-23309,WSR.AX
netBorrowings,-15000,-15000,WSR.AX
totalCashFromFinancingActivities,5216331,280620,WSR.AX
changeToOperatingActivities,29335,-2484,WSR.AX
issuanceOfStock,5750300,280620,WSR.AX
netIncome,-783515,-285073,WSR.AX
changeInCash,3061388,20644,WSR.AX
totalCashFromOperatingActivities,-364302,-236668,WSR.AX
depreciation,4584,4584,WSR.AX
otherCashflowsFromInvestingActivities,-60000,-60000,WSR.AX
changeToAccountReceivables,-70021,3886,WSR.AX
otherCashflowsFromFinancingActivities,-518969,-518969,WSR.AX
changeToNetincome,52356,49800,WSR.AX
capitalExpenditures,-1730641,-34475,WSR.AX
