Breakdown,2021-06-30 00:00:00,ticker
totalLiab,718214,M2M.AX
totalStockholderEquity,1666686,M2M.AX
otherCurrentLiab,295003,M2M.AX
totalAssets,2384900,M2M.AX
commonStock,4342871,M2M.AX
retainedEarnings,-2928185,M2M.AX
treasuryStock,252000,M2M.AX
otherAssets,8133,M2M.AX
cash,431462,M2M.AX
totalCurrentLiabilities,612464,M2M.AX
otherStockholderEquity,252000,M2M.AX
propertyPlantEquipment,1840754,M2M.AX
totalCurrentAssets,536013,M2M.AX
netTangibleAssets,1666686,M2M.AX
netReceivables,65819,M2M.AX
accountsPayable,292093,M2M.AX
