Breakdown,2021-06-30 00:00:00,ticker
researchDevelopment,,M2M.AX
effectOfAccountingCharges,,M2M.AX
incomeBeforeTax,-5019747,M2M.AX
minorityInterest,,M2M.AX
netIncome,-5019747,M2M.AX
sellingGeneralAdministrative,928557,M2M.AX
grossProfit,0,M2M.AX
ebit,-5016928,M2M.AX
operatingIncome,-5016928,M2M.AX
otherOperatingExpenses,,M2M.AX
interestExpense,-2861,M2M.AX
extraordinaryItems,,M2M.AX
nonRecurring,,M2M.AX
otherItems,,M2M.AX
incomeTaxExpense,0,M2M.AX
totalRevenue,0,M2M.AX
totalOperatingExpenses,5016928,M2M.AX
costOfRevenue,0,M2M.AX
totalOtherIncomeExpenseNet,-2818,M2M.AX
discontinuedOperations,,M2M.AX
netIncomeFromContinuingOps,-5019747,M2M.AX
netIncomeApplicableToCommonShares,-5019747,M2M.AX
