Breakdown,2021-06-30 00:00:00,ticker
changeToLiabilities,476052,M2M.AX
totalCashflowsFromInvestingActivities,-500664,M2M.AX
netBorrowings,-15555,M2M.AX
totalCashFromFinancingActivities,1626473,M2M.AX
issuanceOfStock,1714286,M2M.AX
netIncome,-5019747,M2M.AX
changeInCash,739649,M2M.AX
totalCashFromOperatingActivities,-386160,M2M.AX
depreciation,14547,M2M.AX
otherCashflowsFromInvestingActivities,-13942,M2M.AX
changeToAccountReceivables,-108396,M2M.AX
otherCashflowsFromFinancingActivities,-72257,M2M.AX
changeToNetincome,4251383,M2M.AX
capitalExpenditures,-796877,M2M.AX
