Breakdown,2021-06-30 00:00:00,ticker
researchDevelopment,,RAD.AX
effectOfAccountingCharges,,RAD.AX
incomeBeforeTax,-1164456,RAD.AX
minorityInterest,,RAD.AX
netIncome,-1164456,RAD.AX
sellingGeneralAdministrative,300638,RAD.AX
grossProfit,0,RAD.AX
ebit,-1164456,RAD.AX
operatingIncome,-1164456,RAD.AX
otherOperatingExpenses,1049,RAD.AX
interestExpense,,RAD.AX
extraordinaryItems,,RAD.AX
nonRecurring,,RAD.AX
otherItems,,RAD.AX
incomeTaxExpense,0,RAD.AX
totalRevenue,0,RAD.AX
totalOperatingExpenses,1164456,RAD.AX
costOfRevenue,0,RAD.AX
totalOtherIncomeExpenseNet,0,RAD.AX
discontinuedOperations,,RAD.AX
netIncomeFromContinuingOps,-1164456,RAD.AX
netIncomeApplicableToCommonShares,-1164456,RAD.AX
