Breakdown,2021-07-31 00:00:00,ticker
researchDevelopment,,LYK.AX
effectOfAccountingCharges,,LYK.AX
incomeBeforeTax,-222524,LYK.AX
minorityInterest,,LYK.AX
netIncome,-222524,LYK.AX
sellingGeneralAdministrative,,LYK.AX
grossProfit,0,LYK.AX
ebit,-222524,LYK.AX
operatingIncome,-222524,LYK.AX
otherOperatingExpenses,222524,LYK.AX
interestExpense,,LYK.AX
extraordinaryItems,,LYK.AX
nonRecurring,,LYK.AX
otherItems,,LYK.AX
incomeTaxExpense,0,LYK.AX
totalRevenue,0,LYK.AX
totalOperatingExpenses,222524,LYK.AX
costOfRevenue,0,LYK.AX
totalOtherIncomeExpenseNet,0,LYK.AX
discontinuedOperations,,LYK.AX
netIncomeFromContinuingOps,-222524,LYK.AX
netIncomeApplicableToCommonShares,-222524,LYK.AX
