Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
researchDevelopment,,,,XPN.AX
effectOfAccountingCharges,,,,XPN.AX
incomeBeforeTax,-1983424,-1969737,-1008592,XPN.AX
minorityInterest,,,,XPN.AX
netIncome,-1933046,-1933842,-1010150,XPN.AX
sellingGeneralAdministrative,4219728,2119454,1172196,XPN.AX
grossProfit,3199442,984086,868720,XPN.AX
ebit,-2227439,-1989513,-725215,XPN.AX
operatingIncome,-2227439,-1989513,-725215,XPN.AX
otherOperatingExpenses,843964,792660,356520,XPN.AX
interestExpense,-5925,-68176,-68176,XPN.AX
extraordinaryItems,,,,XPN.AX
nonRecurring,,,,XPN.AX
otherItems,,,,XPN.AX
incomeTaxExpense,-50378,-35895,1558,XPN.AX
totalRevenue,5439128,1715669,1226509,XPN.AX
totalOperatingExpenses,7666567,3705182,1951724,XPN.AX
costOfRevenue,2239686,731583,357789,XPN.AX
totalOtherIncomeExpenseNet,244015,19776,-283377,XPN.AX
discontinuedOperations,,,,XPN.AX
netIncomeFromContinuingOps,-1933046,-1933842,-1010150,XPN.AX
netIncomeApplicableToCommonShares,-1933046,-1933842,-1010150,XPN.AX
