Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
intangibleAssets,1155032.0,925822.0,76627.0,XPN.AX
totalLiab,6732625.0,2180157.0,998335.0,XPN.AX
totalStockholderEquity,4089252.0,3152803.0,-254771.0,XPN.AX
otherCurrentLiab,1203186.0,458032.0,,XPN.AX
totalAssets,10821877.0,5332960.0,743564.0,XPN.AX
commonStock,8060230.0,6053889.0,734680.0,XPN.AX
retainedEarnings,-4365408.0,-2923293.0,-989451.0,XPN.AX
otherLiab,318628.0,160622.0,30595.0,XPN.AX
goodWill,3478447.0,2317477.0,,XPN.AX
treasuryStock,394430.0,22207.0,,XPN.AX
otherAssets,372945.0,114691.0,17060.0,XPN.AX
cash,1722035.0,1016514.0,224988.0,XPN.AX
totalCurrentLiabilities,5773136.0,1689267.0,967740.0,XPN.AX
deferredLongTermAssetCharges,318166.0,51192.0,17060.0,XPN.AX
shortLongTermDebt,21196.0,,,XPN.AX
otherStockholderEquity,394430.0,22207.0,,XPN.AX
propertyPlantEquipment,801227.0,415152.0,23889.0,XPN.AX
totalCurrentAssets,5014226.0,1559818.0,625988.0,XPN.AX
netTangibleAssets,-544227.0,-90496.0,-331398.0,XPN.AX
netReceivables,3292191.0,543304.0,401000.0,XPN.AX
longTermDebt,70849.0,,,XPN.AX
accountsPayable,2600523.0,708388.0,665352.0,XPN.AX
