Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
changeToLiabilities,2187394,-176272,448779,XPN.AX
totalCashflowsFromInvestingActivities,-45480,-20301,-9094,XPN.AX
netBorrowings,-175949,-94862,67633,XPN.AX
totalCashFromFinancingActivities,1690944,2382604,67633,XPN.AX
changeToOperatingActivities,617573,415315,82540,XPN.AX
issuanceOfStock,1866893,2477466,2477466,XPN.AX
netIncome,-1933046,-1933842,-1010150,XPN.AX
changeInCash,705521,791526,-145730,XPN.AX
effectOfExchangeRate,15147,2545,2545,XPN.AX
totalCashFromOperatingActivities,-955090,-1573322,-204269,XPN.AX
depreciation,283737,65990,65219,XPN.AX
changeToAccountReceivables,-2468456,42523,-33546,XPN.AX
changeToNetincome,383398,6901,303259,XPN.AX
capitalExpenditures,-5309,-25195,-25195,XPN.AX
