Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
changeToLiabilities,465874,197669,ALO.AX
totalCashflowsFromInvestingActivities,-5101535,12802,ALO.AX
netBorrowings,-70823,-1167898,ALO.AX
totalCashFromFinancingActivities,2048965,-1167898,ALO.AX
changeToOperatingActivities,47262,-88155,ALO.AX
issuanceOfStock,2913010,2913010,ALO.AX
netIncome,-110472,-940725,ALO.AX
changeInCash,-483653,451148,ALO.AX
totalCashFromOperatingActivities,2568917,1606244,ALO.AX
depreciation,3350832,2402839,ALO.AX
otherCashflowsFromInvestingActivities,12319,15294,ALO.AX
dividendsPaid,-680000,-680000,ALO.AX
changeToAccountReceivables,-698695,-60792,ALO.AX
otherCashflowsFromFinancingActivities,-113222,-113222,ALO.AX
changeToNetincome,-798475,189165,ALO.AX
capitalExpenditures,-360977,-2492,ALO.AX
