Breakdown,2021-06-30 00:00:00,ticker
totalLiab,762549,OZZ.AX
totalStockholderEquity,4368929,OZZ.AX
otherCurrentLiab,137518,OZZ.AX
totalAssets,5131478,OZZ.AX
commonStock,7010127,OZZ.AX
retainedEarnings,-3126920,OZZ.AX
treasuryStock,485722,OZZ.AX
cash,5013272,OZZ.AX
totalCurrentLiabilities,762549,OZZ.AX
otherStockholderEquity,485722,OZZ.AX
propertyPlantEquipment,49390,OZZ.AX
totalCurrentAssets,5082088,OZZ.AX
netTangibleAssets,4368929,OZZ.AX
netReceivables,68816,OZZ.AX
accountsPayable,471339,OZZ.AX
