Breakdown,2021-06-30 00:00:00,ticker
researchDevelopment,,OZZ.AX
effectOfAccountingCharges,,OZZ.AX
incomeBeforeTax,-3752304,OZZ.AX
minorityInterest,,OZZ.AX
netIncome,-3752304,OZZ.AX
sellingGeneralAdministrative,923408,OZZ.AX
grossProfit,0,OZZ.AX
ebit,-3694712,OZZ.AX
operatingIncome,-3694712,OZZ.AX
otherOperatingExpenses,,OZZ.AX
interestExpense,-1566,OZZ.AX
extraordinaryItems,,OZZ.AX
nonRecurring,,OZZ.AX
otherItems,,OZZ.AX
incomeTaxExpense,0,OZZ.AX
totalRevenue,0,OZZ.AX
totalOperatingExpenses,3694712,OZZ.AX
costOfRevenue,0,OZZ.AX
totalOtherIncomeExpenseNet,-57592,OZZ.AX
discontinuedOperations,,OZZ.AX
netIncomeFromContinuingOps,-3752304,OZZ.AX
netIncomeApplicableToCommonShares,-3752304,OZZ.AX
