Breakdown,2021-06-30 00:00:00,ticker
changeToLiabilities,412895,OZZ.AX
totalCashflowsFromInvestingActivities,-1200,OZZ.AX
netBorrowings,157162,OZZ.AX
totalCashFromFinancingActivities,6593830,OZZ.AX
issuanceOfStock,6468152,OZZ.AX
netIncome,-3752304,OZZ.AX
changeInCash,6015926,OZZ.AX
totalCashFromOperatingActivities,-576703,OZZ.AX
depreciation,768,OZZ.AX
changeToAccountReceivables,-82579,OZZ.AX
otherCashflowsFromFinancingActivities,-31484,OZZ.AX
changeToNetincome,2844517,OZZ.AX
capitalExpenditures,-1200,OZZ.AX
