Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
researchDevelopment,,,,HM1.AX
effectOfAccountingCharges,,,,HM1.AX
incomeBeforeTax,-19096108,-5182028,-2258794,HM1.AX
minorityInterest,,,,HM1.AX
netIncome,-12464141,-2684949,-895560,HM1.AX
sellingGeneralAdministrative,541098,497445,497445,HM1.AX
grossProfit,5272245,6425730,4460753,HM1.AX
ebit,4091861,5709874,3707690,HM1.AX
operatingIncome,4091861,5709874,3707690,HM1.AX
otherOperatingExpenses,639286,218411,753062,HM1.AX
interestExpense,-5493,-4094,-142116,HM1.AX
extraordinaryItems,,,,HM1.AX
nonRecurring,,,,HM1.AX
otherItems,,,,HM1.AX
incomeTaxExpense,-6631967,-2497079,-1363234,HM1.AX
totalRevenue,5272245,6425730,4460753,HM1.AX
totalOperatingExpenses,1180384,715856,753062,HM1.AX
costOfRevenue,0,0,0,HM1.AX
totalOtherIncomeExpenseNet,-23187969,-10891902,-5966484,HM1.AX
discontinuedOperations,,,,HM1.AX
netIncomeFromContinuingOps,-12464141,-2684949,-895560,HM1.AX
netIncomeApplicableToCommonShares,-12464141,-2684949,-895560,HM1.AX
